,isim,yıl,süre,kategori,oy
0,Zack Snyder's Justice League,2021,242,"Action, Adventure, Fantasy            ",8.1
1,The Father,2020,97,Drama            ,8.3
2,Sound of Metal,2019,120,"Drama, Music            ",7.8
3,Sleepers,1996,147,"Crime, Drama, Thriller            ",7.6
4,Avengers: Endgame,2019,181,"Action, Adventure, Drama            ",8.4
5,The Trial of the Chicago 7,2020,129,"Drama, History, Thriller            ",7.8
6,The Godfather,1972,175,"Crime, Drama            ",9.2
7,Druk,2020,117,"Comedy, Drama            ",7.8
8,Saving Private Ryan,1998,169,"Drama, War            ",8.6
9,Harry Potter and the Deathly Hallows: Part 2,2011,130,"Adventure, Drama, Fantasy            ",8.1
10,Soul,2020,100,"Animation, Adventure, Comedy            ",8.1
11,Once Upon a Time... in Hollywood,2019,161,"Comedy, Drama            ",7.6
12,The Shawshank Redemption,1994,142,Drama            ,9.3
13,Gisaengchung,2019,132,"Comedy, Drama, Thriller            ",8.6
14,The Dark Knight,2008,152,"Action, Crime, Drama            ",9.0
15,Harry Potter and the Sorcerer's Stone,2001,152,"Adventure, Family, Fantasy            ",7.6
16,Titanic,1997,194,"Drama, Romance            ",7.8
17,Knives Out,2019,130,"Comedy, Crime, Drama            ",7.9
18,Joker,2019,122,"Crime, Drama, Thriller            ",8.4
19,Avengers: Infinity War,2018,149,"Action, Adventure, Sci-Fi            ",8.4
20,Harry Potter and the Half-Blood Prince,2009,153,"Action, Adventure, Family            ",7.6
21,The Wolf of Wall Street,2013,180,"Biography, Crime, Drama            ",8.2
22,Pulp Fiction,1994,154,"Crime, Drama            ",8.9
23,The Lord of the Rings: The Fellowship of the Ring,2001,178,"Action, Adventure, Drama            ",8.8
24,Blade Runner 2049,2017,164,"Action, Drama, Mystery            ",8.0
25,Interstellar,2014,169,"Adventure, Drama, Sci-Fi            ",8.6
26,Inglourious Basterds,2009,153,"Adventure, Drama, War            ",8.3
27,The Gentlemen,2019,113,"Action, Comedy, Crime            ",7.8
28,A Star Is Born,2018,136,"Drama, Music, Romance            ",7.6
29,Inception,2010,148,"Action, Adventure, Sci-Fi            ",8.8
30,Thor: Ragnarok,2017,130,"Action, Adventure, Comedy            ",7.9
31,Captain America: Civil War,2016,147,"Action, Adventure, Sci-Fi            ",7.8
32,Guardians of the Galaxy,2014,121,"Action, Adventure, Comedy            ",8.0
33,Captain America: The Winter Soldier,2014,136,"Action, Adventure, Sci-Fi            ",7.7
34,The Game,1997,129,"Drama, Mystery, Thriller            ",7.8
35,Watchmen,2009,162,"Action, Drama, Mystery            ",7.6
36,Bohemian Rhapsody,2018,134,"Biography, Drama, Music            ",8.0
37,The Goonies,1985,114,"Adventure, Comedy, Family            ",7.8
38,Jojo Rabbit,2019,108,"Comedy, Drama, War            ",7.9
39,Alien,1979,117,"Horror, Sci-Fi            ",8.4
40,Dazed and Confused,1993,102,Comedy            ,7.6
41,Back to the Future,1985,116,"Adventure, Comedy, Sci-Fi            ",8.5
42,Shutter Island,2010,138,"Mystery, Thriller            ",8.2
43,The Silence of the Lambs,1991,118,"Crime, Drama, Thriller            ",8.6
44,Deadpool 2,2018,119,"Action, Adventure, Comedy            ",7.7
45,The Godfather: Part II,1974,202,"Crime, Drama            ",9.0
46,The Matrix,1999,136,"Action, Sci-Fi            ",8.7
47,Forrest Gump,1994,142,"Drama, Romance            ",8.8
48,Gone Girl,2014,149,"Drama, Mystery, Thriller            ",8.1
49,The Avengers,2012,143,"Action, Adventure, Sci-Fi            ",8.0
50,Fargo,1996,98,"Crime, Drama, Thriller            ",8.1
51,Pride & Prejudice,2005,129,"Drama, Romance            ",7.8
52,Schindler's List,1993,195,"Biography, Drama, History            ",8.9
53,Guardians of the Galaxy Vol. 2,2017,136,"Action, Adventure, Comedy            ",7.6
54,The Green Mile,1999,189,"Crime, Drama, Fantasy            ",8.6
55,Skyfall,2012,143,"Action, Adventure, Thriller            ",7.8
56,1917,2019,119,"Drama, Thriller, War            ",8.3
57,Fight Club,1999,139,Drama            ,8.8
58,Harry Potter and the Deathly Hallows: Part 1,2010,146,"Adventure, Family, Fantasy            ",7.7
59,Gladiator,2000,155,"Action, Adventure, Drama            ",8.5
60,Apocalypse Now,1979,147,"Drama, Mystery, War            ",8.4
61,Goodfellas,1990,146,"Biography, Crime, Drama            ",8.7
62,The Last Picture Show,1971,118,"Drama, Romance            ",8.0
63,The Departed,2006,151,"Crime, Drama, Thriller            ",8.5
64,No Country for Old Men,2007,122,"Crime, Drama, Thriller            ",8.1
65,Deadpool,2016,108,"Action, Adventure, Comedy            ",8.0
66,The Prestige,2006,130,"Drama, Mystery, Sci-Fi            ",8.5
67,Django Unchained,2012,165,"Drama, Western            ",8.4
68,Iron Man,2008,126,"Action, Adventure, Sci-Fi            ",7.9
69,The Dark Knight Rises,2012,164,"Action, Adventure            ",8.4
70,Green Book,2018,130,"Biography, Comedy, Drama            ",8.2
71,Avatar,2009,162,"Action, Adventure, Fantasy            ",7.8
72,American Psycho,2000,101,"Comedy, Crime, Drama            ",7.6
73,Little Women,2019,135,"Drama, Romance            ",7.8
74,Jurassic Park,1993,127,"Action, Adventure, Sci-Fi            ",8.1
75,Mad Max: Fury Road,2015,120,"Action, Adventure, Sci-Fi            ",8.1
76,American Beauty,1999,122,Drama            ,8.3
77,The Big Lebowski,1998,117,"Comedy, Crime, Sport            ",8.1
78,The Fifth Element,1997,126,"Action, Adventure, Sci-Fi            ",7.7
79,Get Out,2017,104,"Horror, Mystery, Thriller            ",7.7
80,Léon,1994,110,"Action, Crime, Drama            ",8.5
81,The Grand Budapest Hotel,2014,99,"Adventure, Comedy, Crime            ",8.1
82,Hamilton,2020,160,"Biography, Drama, History            ",8.5
83,Stardust,2007,127,"Adventure, Family, Fantasy            ",7.6
84,Se7en,1995,127,"Crime, Drama, Mystery            ",8.6
85,Logan,2017,137,"Action, Drama, Sci-Fi            ",8.1
86,Moneyball,2011,133,"Biography, Drama, Sport            ",7.6
87,The Lord of the Rings: The Return of the King,2003,201,"Action, Adventure, Drama            ",8.9
88,Requiem for a Dream,2000,102,Drama            ,8.3
89,The Pianist,2002,150,"Biography, Drama, Music            ",8.5
90,About Time,2013,123,"Comedy, Drama, Fantasy            ",7.8
91,Aliens,1986,137,"Action, Adventure, Sci-Fi            ",8.3
92,Whiplash,2014,106,"Drama, Music            ",8.5
93,Ford v Ferrari,2019,152,"Action, Biography, Drama            ",8.1
94,Call Me by Your Name,2017,132,"Drama, Romance            ",7.9
95,The Godfather: Part III,1990,162,"Crime, Drama            ",7.6
96,300,2006,117,"Action, Drama            ",7.6
97,Dunkirk,2017,106,"Action, Drama, History            ",7.8
98,The Princess Bride,1987,98,"Adventure, Family, Fantasy            ",8.0
99,Heat,1995,170,"Crime, Drama, Thriller            ",8.2
100,Brokeback Mountain,2005,134,"Drama, Romance            ",7.7
101,Braveheart,1995,178,"Biography, Drama, History            ",8.3
102,Harry Potter and the Goblet of Fire,2005,157,"Adventure, Family, Fantasy            ",7.7
103,Taxi Driver,1976,114,"Crime, Drama            ",8.2
104,The Hobbit: An Unexpected Journey,2012,169,"Adventure, Fantasy            ",7.8
105,Batman Begins,2005,140,"Action, Adventure            ",8.2
106,Hacksaw Ridge,2016,139,"Biography, Drama, History            ",8.1
107,Prisoners,2013,153,"Crime, Drama, Mystery            ",8.1
108,Shrek,2001,90,"Animation, Adventure, Comedy            ",7.8
109,Captain Fantastic,2016,118,"Comedy, Drama            ",7.9
110,A Clockwork Orange,1971,136,"Crime, Drama, Sci-Fi            ",8.3
111,The Sandlot,1993,101,"Comedy, Drama, Family            ",7.8
112,The Martian,2015,144,"Adventure, Drama, Sci-Fi            ",8.0
113,The Social Network,2010,120,"Biography, Drama            ",7.7
114,The Irishman,2019,209,"Biography, Crime, Drama            ",7.8
115,Blade Runner,1982,117,"Action, Sci-Fi, Thriller            ",8.1
116,Spider-Man: Into the Spider-Verse,2018,117,"Animation, Action, Adventure            ",8.4
117,Tombstone,1993,130,"Action, Biography, Drama            ",7.8
118,Arrival,2016,116,"Drama, Sci-Fi            ",7.9
119,Pirates of the Caribbean: The Curse of the Black Pearl,2003,143,"Action, Adventure, Fantasy            ",8.0
120,Rush,2013,123,"Action, Biography, Drama            ",8.1
121,"Three Billboards Outside Ebbing, Missouri",2017,115,"Comedy, Crime, Drama            ",8.1
122,Moana,2016,107,"Animation, Adventure, Comedy            ",7.6
123,Rogue One,2016,133,"Action, Adventure, Sci-Fi            ",7.8
124,Baby Driver,2017,113,"Action, Crime, Drama            ",7.6
125,Mission: Impossible - Fallout,2018,147,"Action, Adventure, Thriller            ",7.7
126,Drive,2011,100,"Crime, Drama            ",7.8
127,Kingsman: The Secret Service,2014,129,"Action, Adventure, Comedy            ",7.7
128,Home Alone,1990,103,"Comedy, Family            ",7.6
129,12 Angry Men,1957,96,"Crime, Drama            ",9.0
130,The Shining,1980,146,"Drama, Horror            ",8.4
131,My Fair Lady,1964,170,"Drama, Family, Musical            ",7.8
132,Jagten,2012,115,Drama            ,8.3
133,Scarface,1983,170,"Crime, Drama            ",8.3
134,Good Will Hunting,1997,126,"Drama, Romance            ",8.3
135,Black Swan,2010,108,"Drama, Thriller            ",8.0
136,Star Wars,1977,121,"Action, Adventure, Fantasy            ",8.6
137,Stand by Me,1986,89,"Adventure, Drama            ",8.1
138,The Count of Monte Cristo,2002,131,"Action, Adventure, Drama            ",7.8
139,The Lord of the Rings: The Two Towers,2002,179,"Action, Adventure, Drama            ",8.7
140,Snatch,2000,104,"Comedy, Crime            ",8.3
141,Ghost Busters,1984,105,"Action, Comedy, Fantasy            ",7.8
142,The Lion King,1994,88,"Animation, Adventure, Drama            ",8.5
143,Into the Wild,2007,148,"Adventure, Biography, Drama            ",8.1
144,Raiders of the Lost Ark,1981,115,"Action, Adventure            ",8.4
145,Donnie Darko,2001,113,"Drama, Mystery, Sci-Fi            ",8.0
146,Sen to Chihiro no kamikakushi,2001,125,"Animation, Adventure, Family            ",8.6
147,Eternal Sunshine of the Spotless Mind,2004,108,"Drama, Romance, Sci-Fi            ",8.3
148,Boogie Nights,1997,155,Drama            ,7.9
149,Rocky,1976,120,"Drama, Sport            ",8.1
150,Hot Fuzz,2007,121,"Action, Comedy, Mystery            ",7.8
151,There Will Be Blood,2007,158,Drama            ,8.2
152,One Flew Over the Cuckoo's Nest,1975,133,Drama            ,8.7
153,The Help,2011,146,Drama            ,8.0
154,Citizen Kane,1941,119,"Drama, Mystery            ",8.3
155,Zootopia,2016,108,"Animation, Adventure, Comedy            ",8.0
156,The Big Short,2015,130,"Biography, Comedy, Drama            ",7.8
157,Ferris Bueller's Day Off,1986,103,Comedy            ,7.8
158,The Breakfast Club,1985,97,"Comedy, Drama            ",7.8
159,Portrait de la jeune fille en feu,2019,122,"Drama, Romance            ",8.1
160,Cast Away,2000,143,"Adventure, Drama, Romance            ",7.8
161,"Il buono, il brutto, il cattivo",1966,161,Western            ,8.8
162,Harry Potter and the Prisoner of Azkaban,2004,142,"Adventure, Family, Fantasy            ",7.9
163,The Ten Commandments,1956,220,"Adventure, Drama            ",7.9
164,The Usual Suspects,1995,106,"Crime, Mystery, Thriller            ",8.5
165,The Intouchables,2011,112,"Biography, Comedy, Drama            ",8.5
166,Almost Famous,2000,122,"Adventure, Comedy, Drama            ",7.9
167,Zodiac,2007,157,"Crime, Drama, Mystery            ",7.7
168,The Truman Show,1998,103,"Comedy, Drama            ",8.1
169,Memento,2000,113,"Mystery, Thriller            ",8.4
170,My Cousin Vinny,1992,120,"Comedy, Crime            ",7.6
171,The Girl with the Dragon Tattoo,2011,158,"Crime, Drama, Mystery            ",7.8
172,Moonrise Kingdom,2012,94,"Comedy, Drama, Romance            ",7.8
173,The Notebook,2004,123,"Drama, Romance            ",7.8
174,12 Years a Slave,2013,134,"Biography, Drama, History            ",8.1
175,La La Land,2016,128,"Comedy, Drama, Music            ",8.0
176,The Hateful Eight,2015,168,"Crime, Drama, Mystery            ",7.8
177,Reservoir Dogs,1992,99,"Crime, Drama, Thriller            ",8.3
178,Gifted,2017,101,Drama            ,7.6
179,The Incredibles,2004,115,"Animation, Action, Adventure            ",8.0
180,Kill Bill: Vol. 1,2003,111,"Action, Crime, Drama            ",8.1
181,Spotlight,2015,129,"Biography, Crime, Drama            ",8.1
182,Sicario,2015,121,"Action, Crime, Drama            ",7.6
183,True Romance,1993,119,"Crime, Drama, Romance            ",7.9
184,American History X,1998,119,Drama            ,8.5
185,Her,2013,126,"Drama, Romance, Sci-Fi            ",8.0
186,Dances with Wolves,1990,181,"Adventure, Drama, Western            ",8.0
187,Ex Machina,2014,108,"Drama, Sci-Fi, Thriller            ",7.7
188,Oldeuboi,2003,120,"Action, Drama, Mystery            ",8.4
189,Argo,2012,120,"Biography, Drama, Thriller            ",7.7
190,Cidade de Deus,2002,130,"Crime, Drama            ",8.6
191,Platoon,1986,120,"Drama, War            ",8.1
192,Mulholland Dr.,2001,147,"Drama, Mystery, Thriller            ",7.9
193,Star Wars: Episode VII - The Force Awakens,2015,138,"Action, Adventure, Sci-Fi            ",7.9
194,Primal Fear,1996,129,"Crime, Drama, Mystery            ",7.7
195,Terminator 2: Judgment Day,1991,137,"Action, Sci-Fi            ",8.5
196,Atonement,2007,123,"Drama, Mystery, Romance            ",7.8
197,Carlito's Way,1993,144,"Crime, Drama, Thriller            ",7.9
198,Room,2015,118,"Drama, Thriller            ",8.1
199,Trainspotting,1996,93,Drama            ,8.1
200,Apocalypto,2006,139,"Action, Adventure, Drama            ",7.8
201,Wind River,2017,107,"Crime, Drama, Mystery            ",7.7
202,2001: A Space Odyssey,1968,149,"Adventure, Sci-Fi            ",8.3
203,The Terminator,1984,107,"Action, Sci-Fi            ",8.0
204,Training Day,2001,122,"Crime, Drama, Thriller            ",7.7
205,The Perks of Being a Wallflower,2012,103,"Drama, Romance            ",8.0
206,Nightcrawler,2014,117,"Crime, Drama, Thriller            ",7.8
207,The Revenant,2015,156,"Action, Adventure, Drama            ",8.0
208,Casino Royale,2006,144,"Action, Adventure, Thriller            ",8.0
209,Jaws,1975,124,"Adventure, Thriller            ",8.0
210,La vita è bella,1997,116,"Comedy, Drama, Romance            ",8.6
211,Idi i smotri,1985,142,"Drama, Thriller, War            ",8.3
212,Full Metal Jacket,1987,116,"Drama, War            ",8.3
213,Kimi no na wa.,2016,106,"Animation, Drama, Fantasy            ",8.4
214,Catch Me If You Can,2002,141,"Biography, Crime, Drama            ",8.1
215,A Beautiful Mind,2001,135,"Biography, Drama            ",8.2
216,The Hangover,2009,100,Comedy            ,7.7
217,Hidden Figures,2016,127,"Biography, Drama, History            ",7.8
218,X: First Class,2011,131,"Action, Adventure, Sci-Fi            ",7.7
219,Ah-ga-ssi,2016,145,"Drama, Romance, Thriller            ",8.1
220,In the Heat of the Night,1967,110,"Crime, Drama, Mystery            ",7.9
221,V for Vendetta,2005,132,"Action, Drama, Sci-Fi            ",8.2
222,Coco,2017,105,"Animation, Adventure, Family            ",8.4
223,Silver Linings Playbook,2012,122,"Comedy, Drama, Romance            ",7.7
224,Hauru no ugoku shiro,2004,119,"Animation, Adventure, Family            ",8.2
225,Once Upon a Time in America,1984,229,"Crime, Drama            ",8.4
226,Die Hard,1988,132,"Action, Thriller            ",8.2
227,In the Name of the Father,1993,133,"Biography, Crime, Drama            ",8.1
228,The Hobbit: The Desolation of Smaug,2013,161,"Adventure, Fantasy            ",7.8
229,Predator,1987,107,"Action, Adventure, Sci-Fi            ",7.8
230,L.A. Confidential,1997,138,"Crime, Drama, Mystery            ",8.2
231,Sin City,2005,124,"Crime, Thriller            ",8.0
232,Casino,1995,178,"Crime, Drama            ",8.2
233,The Peanut Butter Falcon,2019,97,"Adventure, Comedy, Drama            ",7.6
234,Judgment at Nuremberg,1961,179,"Drama, War            ",8.2
235,Airplane!,1980,88,Comedy            ,7.7
236,Warrior,2011,140,"Action, Drama, Sport            ",8.2
237,28 Days Later...,2002,113,"Drama, Horror, Sci-Fi            ",7.6
238,Toy Story,1995,81,"Animation, Adventure, Comedy            ",8.3
239,Contratiempo,2016,106,"Crime, Drama, Mystery            ",8.1
240,The Sound of Music,1965,172,"Biography, Drama, Family            ",8.0
241,The Imitation Game,2014,114,"Biography, Drama, Thriller            ",8.0
242,Straight Outta Compton,2015,147,"Biography, Drama, History            ",7.8
243,Big Fish,2003,125,"Adventure, Drama, Fantasy            ",8.0
244,Shaun of the Dead,2004,99,"Comedy, Horror            ",7.9
245,Pan's Labyrinth,2006,118,"Drama, Fantasy, War            ",8.2
246,E.T. the Extra-Terrestrial,1982,115,"Family, Sci-Fi            ",7.8
247,Inside Out,2015,95,"Animation, Adventure, Comedy            ",8.1
248,X-Men: Days of Future Past,2014,132,"Action, Adventure, Sci-Fi            ",7.9
249,Dead Poets Society,1989,128,"Comedy, Drama            ",8.1
250,Minority Report,2002,145,"Action, Crime, Mystery            ",7.6
251,Edge of Tomorrow,2014,113,"Action, Adventure, Sci-Fi            ",7.9
252,Psycho,1960,109,"Horror, Mystery, Thriller            ",8.5
253,The Sixth Sense,1999,107,"Drama, Mystery, Thriller            ",8.1
254,Ratatouille,2007,111,"Animation, Adventure, Comedy            ",8.0
255,The Exorcist,1973,122,Horror            ,8.0
256,Office Space,1999,89,Comedy            ,7.7
257,The Curious Case of Benjamin Button,2008,166,"Drama, Fantasy, Romance            ",7.8
258,Toy Story 4,2019,100,"Animation, Adventure, Comedy            ",7.7
259,Kick-Ass,2010,117,"Action, Comedy, Crime            ",7.6
260,Finding Nemo,2003,100,"Animation, Adventure, Comedy            ",8.1
261,Tangled,2010,100,"Animation, Adventure, Comedy            ",7.7
262,Star Trek,2009,127,"Action, Adventure, Sci-Fi            ",7.9
